节点ID,父节点ID,节点名称,排序
ROOT,,整车,1
SYS1,ROOT,动力系统,10
SYS2,ROOT,防护系统,20
SYS3,ROOT,观瞄系统,30
SYS4,ROOT,行走系统,40
SYS5,ROOT,火控系统,50
P1_1,SYS1,引擎盖,11
P1_2,SYS1,进气格栅,12
P1_3,SYS1,主变速箱,13
P1_4,SYS1,传动轴A,14
P1_5,SYS1,传动轴B,15
P1_6,SYS1,散热风扇,16
P2_1,SYS2,前装甲板,21
P2_2,SYS2,侧面裙板,22
P2_3,SYS2,防崩落衬层,23
P2_4,SYS2,炮塔基座,24
P2_5,SYS2,主动防护模块,25
P2_6,SYS2,烟幕发射器,26
P3_1,SYS3,主瞄准镜,31
P3_2,SYS3,热像仪,32
P3_3,SYS3,激光测距仪,33
P3_4,SYS3,周视镜,34
P3_5,SYS3,备用瞄具,35
P3_6,SYS3,传感器单元,36
P4_1,SYS4,左侧履带,41
P4_2,SYS4,右侧履带,42
P4_3,SYS4,负重轮1,43
P4_4,SYS4,负重轮2,44
P4_5,SYS4,驱动轮,45
P4_6,SYS4,悬挂减震器,46
P5_1,SYS5,弹药输送机,51
P5_2,SYS5,火控计算机,52
P5_3,SYS5,伺服驱动器,53
P5_4,SYS5,射击控制面板,54
P5_5,SYS5,陀螺稳定仪,55
P5_6,SYS5,弹道传感器,56
