模型名称,中文名称,PDF路径,毁伤叶子ID
Object_47,车窗,/assets/richtext/object-47.html,WINDOW_SIDE
Object_32,车框,test1.pdf,WINDOW_SIDE
Object_26,侧窗,test2.pdf,WINDOW_SIDE
Object_36,后窗,test3.pdf,WINDOW_REAR
Object_130,车灯,test5.pdf,LIGHT_FRONT
Object_64,车标,test4.pdf,BRAND_LOGO
Object_12,右前轮胎,/assets/richtext/object-9.html,WHEEL_FRONT_RIGHT
Object_9,右后轮胎,/assets/richtext/object-12.html,右后轮
Object_89,左前轮胎,/assets/richtext/object-89.html,WHEEL_FRONT_LEFT
Object_118,左后轮胎,/assets/richtext/object-118.html,WHEEL_REAR_LEFT
ROOT,整车层级,/assets/richtext/object-47.html,ROOT
BODY,车身外观层级,test1.pdf,BODY
WINDOW_SYSTEM,车窗系统层级,test2.pdf,WINDOW_SYSTEM
LIGHT_SYSTEM,灯光系统层级,test5.pdf,LIGHT_SYSTEM
BRAND_SYSTEM,品牌标识层级,test4.pdf,BRAND_SYSTEM
WHEEL_SYSTEM,轮胎系统层级,/assets/richtext/object-9.html,WHEEL_SYSTEM

